,COMID,year,Mean_Annual_Flow,Q1,Q2,PORmedian,POR_avg_annual_flow,Count_wateryears,WYT
2042623,8009213,2001,23.488000000000003,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042624,8009213,2002,42.28,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042625,8009213,2003,55.368,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042626,8009213,2004,76.751,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042627,8009213,2005,68.84100000000001,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042628,8009213,2006,110.42200000000001,34.5940638,69.4195598,43.5915,56.2226875,64,Wet
2042629,8009213,2007,14.825,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042630,8009213,2008,36.6,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042631,8009213,2009,13.009,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042632,8009213,2010,39.099000000000004,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042633,8009213,2011,59.286,34.5940638,69.4195598,43.5915,56.2226875,64,Moderate
2042634,8009213,2012,15.508,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042635,8009213,2013,33.674,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
2042636,8009213,2014,8.537,34.5940638,69.4195598,43.5915,56.2226875,64,Dry
